emp_no,first_name,last_name,birth_date,from_date,to_date,title
10095,Hilari,Morton,1/3/65,3/10/94,1/1/99,Staff
10122,Ohad,Esposito,1/19/65,8/6/98,1/1/99,Technique Leader
10291,Dipayan,Seghrouchni,1/23/65,3/30/87,1/1/99,Senior Staff
10410,Takahito,Gecsei,1/19/65,10/16/93,7/21/96,Staff
10476,Kokou,Iisaka,1/1/65,9/20/87,1/1/99,Senior Staff
10480,Make,Baba,1/25/65,5/18/88,6/3/89,Staff
10663,Teunis,Noriega,1/9/65,1/23/93,2/12/99,Technique Leader
10762,Lech,Himler,1/19/65,1/21/92,1/1/99,Senior Staff
10933,Juyoung,Seghrouchni,1/24/65,8/2/93,1/1/99,Senior Engineer
11015,Jeanna,Riesenhuber,1/24/65,3/14/98,2/22/00,Senior Staff
11126,Hideo,Daescu,1/8/65,2/25/92,4/4/02,Senior Staff
11157,Mario,Cochrane,2/1/65,3/30/85,2/6/91,Engineer
11432,Yongmao,Zwicker,1/15/65,10/19/87,9/13/97,Engineer
12155,Keiichiro,Glinert,1/21/65,9/16/93,1/1/99,Engineer
12408,Rasiah,Sudkamp,1/10/65,4/18/95,1/1/99,Senior Engineer
12643,Morrie,Schurmann,1/30/65,12/31/98,1/1/99,Staff
13499,Kazuhiko,Sidou,1/16/65,9/1/91,1/1/99,Technique Leader
13957,Angus,Chelton,1/10/65,4/18/86,2/2/87,Senior Engineer
14075,Denny,Tchuente,1/3/65,5/30/91,1/1/99,Assistant Engineer
14104,Sudhanshu,Demian,1/3/65,7/23/94,1/1/99,Senior Staff
14127,Magdalena,Cannard,1/10/65,4/22/94,1/1/99,Engineer
14158,Caolyn,Setiz,1/22/65,2/6/90,1/1/99,Senior Staff
14476,Sastry,Marrevee,1/19/65,9/25/99,1/1/99,Engineer
14551,Richard,Sinitsyn,1/18/65,6/27/93,9/16/93,Senior Staff
14907,Nakhoon,Luga,1/14/65,12/18/86,1/1/99,Senior Staff
15050,Nikolaos,Kruskal,1/18/65,12/17/90,1/1/99,Engineer
15058,Bouchung,Bugrara,1/30/65,6/18/90,1/1/99,Senior Staff
15376,Geoff,Soicher,1/10/65,8/14/88,3/1/01,Senior Staff
15413,Arvin,Rabejac,1/17/65,1/1/94,1/1/99,Engineer
